Zimmer,Quadratmeter,Preis,Adresse,PLZ,Ort
3.5,38,3560,"Haldenstrasse 169, 8003 Zürich",8055,Zürich
2.5,54,4600,Haldenstrasse 167,8055,Zürich
2.5,32,3190,"Haldenstrasse 169, 8003 Zürich",8055,Zürich
3.5,180,8160,Sonnentalstrasse 13,8600,Dübendorf
3.5,49,6050,Rosengartenstrasse 55,8037,Zürich
3.5,150,3470,Trüllikerstrasse 9,8461,Oerlingen
2.5,58,4550,"Allmannstrasse 55, 8052 Zürich",8052,Zürich
2.5,,2740,Unterdorf 5,8453,Alten
3.5,37,3650,Aemtlerstrasse 186,8003,Zürich
2.5,54,3450,Breitistrasse 1,8335,Hittnau
3.5,45,3320,Eggbühlstrasse 9,8050,Zürich
2.5,57,3240,Eichhölzlistrasse 14,8192,Glattfelden
3.5,49,4770,Rosengartenstrasse 55,8037,Zürich
3.5,130,4400,Im Steinacher 3,8303,Bassersdorf
3.5,160,5240,Im Steinacher 3,8303,Bassersdorf
2.5,120,4750,Spindelstrasse 7,8041,Zürich
3.5,63,2340,Waldeggweg 1,8302,Kloten
2.5,62,6410,Ankerstrasse 114,8004,Zürich
2.0,,1630,Badenerstrasse 54,8953,Dietikon
3.5,140,4240,Waldeggweg 1,8302,Kloten
3.5,290,6350,Niggitalstrasse,8630,Rüti
2.0,29,4510,Zelgstrasse 19,8003,Zürich
2.5,,3430,,,
3.5,39,8790,Baurstrasse 29,8008,Zürich
3.5,140,5540,Naphtastr. 4,8005,Zürich
3.5,180,5070,Am Stadtrand 51b,8600,Dübendorf
2.5,120,4400,Im Steinacher 1,8303,Bassersdorf
3.5,210,12440,Zollikerstrasse 177e,8008,Zürich
2.5,55,3820,In Böden 132,8046,Zürich
3.5,62,3240,Winterthurerstrasse 32a,8605,Gutenswil
3.5,210,12180,Zollikerstrasse 177f,8008,Zürich
3.5,41,3380,Spindelstrasse 7,8041,Zürich
2.5,25,2240,Tulpenstrasse 43,8051,Zürich
3.5,40,2410,Waldeggweg 1,8302,Kloten
3.5,130,5970,Seegartenstrasse 68c,8810,Horgen
3.5,30,3030,Rätschengässli 36,8302,Kloten
2.5,58,3440,Dammstr. 14,8810,Horgen
3.5,140,4380,Widenstrasse 11,8302,Kloten
2.5,61,3340,Zürichstrasse 8,8610,Uster
2.0,16,2280,Zielweg 80,8055,Zürich
2.5,42,4120,Rolandstrasse 3,8004,Zürich
3.5,,3330,Höslistrasse 12,8608,Bubikon
2.5,58,3490,Birmensdorferstrasse 122,8902,Urdorf
3.5,140,3490,Trüllikerstrasse 9,8461,Oerlingen
2.5,120,5150,Sonnentalstrasse 17,8600,Dübendorf
1.0,150,4120,Max Bill Platz 5,8050,Zürich
3.5,43,4380,Rolandstrasse 3,8004,Zürich
3.5,50,2660,Eichhölzlistrasse 14,8192,Glattfelden
