ID,Zimmer,Quadratmet,Preis,PLZ,Adresse,AdressePLZ,City,Canton,Country,result_num,osm_id,display_na,category,type,latlong,full_id,osm_id_2,osm_type,shop,fair_trade,facebook,contact:instagram,type_2,membership,operator:wikidata,email,toilets,stroller,second_hand,payment:cards,internet_access:fee,diet:vegetarian,diet:vegan,diet:pescetarian,diet:kosher,currency:EUR,currency:CHF,air_conditioning,contact:phone,diet:lactose_free,diet:gluten_free,access:covid19,amenity,addr:housename,url,cuisine,payment:debit_cards,payment:credit_cards,organic,phone,start_date,diet:halal,location,layer,toilets:wheelchair,payment:vpay,payment:visa,payment:v_pay,payment:twint,payment:samsung_pay,payment:postfinance_card,payment:mastercard,payment:maestro,payment:google_pay,payment:contactless,payment:coins,payment:cash,payment:apple_pay,payment:app,payment:american_express,internet_access,opening_hours:covid19,old_name,addr:place,cash_withdrawal:type,cash_withdrawal:purchase_required,cash_withdrawal:fee,cash_withdrawal,indoor,website,takeaway,source:opening_hours,level,branch,alt_name,wheelchair,operator,opening_hours,name,check_date:opening_hours,check_date,brand:wikipedia,brand:wikidata,brand,addr:street,addr:postcode,addr:housenumber,addr:country,addr:city,n,distance,feature_x,feature_y,nearest_x,nearest_y
"1","3","160","4570","8050",Max Bill Platz 5,"Max Bill Platz 5, 8050",Zurich,Zurich,Switzerland,"0","4864531238","SchlafTEQ Liegezentrum, 5, Max-Bill-Platz, Oerlikon, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8050, Schweiz/Suisse/Svizzera/Svizra",shop,bed,"47.4137961,8.5394081",n482763774,"482763774",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+41 44 312 69 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.aldi-suisse.ch/,,,,Zürich Birch,,yes,Aldi Suisse,"Mo-Sa 07:30-20:00; PH off",Aldi,,2023-05-13,,Q41171672,ALDI,Binzmühlestrasse,"8050","102",CH,Zürich,"1",0.000314973649690535,8.5394081,47.4137961,8.5390963,47.4137515
"2","3","83","3280","8046",Hungerbergstrasse 17,"Hungerbergstrasse 17, 8046",Zurich,Zurich,Switzerland,"0","33049832","17, Hungerbergstrasse, Affoltern, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8046, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.4197919,8.50065555",n7591924440,"7591924440",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zürich Affoltern,,,,"Mo-Sa 07:30-20:00; PH off",Lidl,,,en:Lidl,Q151954,Lidl,Wehntalerstrasse,"8046","625",,Zürich,"1",0.00285884918323716,8.50065555,47.4197919,8.4993196,47.4223194
"3","3","111","4920","8048",Baslerstrasse 77,"Baslerstrasse 77, 8048",Zurich,Zurich,Switzerland,"0","10856032996","Specialized Store Zürich, 77, Baslerstrasse, Altstetten, Kreis 9, Zürich, Bezirk Zürich, Zürich, 8048, Schweiz/Suisse/Svizzera/Svizra",shop,bicycle,"47.3862001,8.4966843",n267344304,"267344304",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.aldi-suisse.ch/,,,,Zürich Hohlstrasse,,yes,Aldi Suisse,"Mo-Sa 07:30-21:00; PH off",Aldi,,,,Q41171672,ALDI,Hohlstrasse,"8048","473",CH,Zürich,"1",0.00212325355292306,8.4966843,47.3862001,8.4965956,47.3883215
"4","3","83","3340","8008",Wildbachstrasse 60,"Wildbachstrasse 60, 8008",Zurich,Zurich,Switzerland,"0","97939347","60, Wildbachstrasse, Mühlebach, Kreis 8, Zürich, Bezirk Zürich, Zürich, 8008, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.3552318,8.55768753819805",n4896104284,"4896104284",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zürich Tiefenbrunnen,Coop Tiefenbrunnen,yes,Coop Genossenschaft,Mo-Sa 07:30-21:00,Coop,,,,,,Seefeldstrasse,"8008","199",CH,Zürich,"1",0.00230348429590238,8.55768753819805,47.3552318,8.558975,47.3533217
"5","3","84","2750","8064",Baendlistrasse 62,"Baendlistrasse 62, 8064",Zurich,Zurich,Switzerland,"0","52348489","62, Bändlistrasse, Werdwies, Altstetten, Kreis 9, Zürich, Bezirk Zürich, Zürich, 8064, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.397214149999996,8.483608195210687",n4827131029,"4827131029",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.voi-migrospartner.ch/de-CH/filialen#voi-voi-zuerich-gruenau,,,,Zürich Grünau,VOI Grünau,,Genossenschaft Migros Zürich,"Mo-Fr 07:30-20:00; Sa 08:00-18:00",VOI,,,,,VOI Migros Partner,Grünauring,"8064","37",CH,Zürich,"1",0.00310413776700619,8.48360819521069,47.39721415,8.4865224,47.396145
"6","3","72","4500","8050",Schaffhauserstrasse 438,"Schaffhauserstrasse 438, 8050",Zurich,Zurich,Switzerland,"0","556437127","438, Schaffhauserstrasse, Seebach, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8050, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.41659235,8.545417767310127",n10039185638,"10039185638",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Sa 07:30-20:00,Denner,,,,Q379911,Denner,,,,,,"1",0.00389214001915446,8.54541776731013,47.41659235,8.5423108,47.4142481
"7","3","80","2440","8048",Talbaechliweg 11,"Talbaechliweg 11, 8048",Zurich,Zurich,Switzerland,"0","147052443","11, Talbächliweg, Altstetten, Kreis 9, Zürich, Bezirk Zürich, Zürich, 8048, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.38938115,8.466941453723175",n4896104282,"4896104282",node,supermarket,,,,,,,,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,,,,,yes,yes,yes,,,yes,,,,,,,,,,,,,yes,yes,yes,yes,yes,,wlan,,,,,,,,,,,,"0",Zürich Suteracher,Coop Suteracher,yes,Coop Genossenschaft,Mo-Sa 07:30-20:00,Coop,,,,Q432564,Coop,Am Suteracher,"8048","14",CH,Zürich,"1",0.00493532938207441,8.46694145372317,47.38938115,8.471856,47.3898336
"8","3","81","1830","8050",Schaffhauserstrasse 411,"Schaffhauserstrasse 411, 8050",Zurich,Zurich,Switzerland,"0","835688834","411, Schaffhauserstrasse, Seebach, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8050, Schweiz/Suisse/Svizzera/Svizra",place,house,"47.4147115,8.5453852",n6011935004,"6011935004",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shop,,,,"0",,,yes,Coop Genossenschaft,"Mo-Fr 06:30-20:00; Sa 08:00-20:00",Coop,2023-04-14,2024-01-27,de:Coop (Schweiz),Q432564,Coop,Andreasstrasse,"8050","5",,Zürich,"1",0.00245508110864301,8.5453852,47.4147115,8.5470117,47.4128725
"9","3","80","3540","8003",Steinstrasse 35,"Steinstrasse 35, 8003",Zurich,Zurich,Switzerland,"0","340697337","35, Steinstrasse, Alt-Wiedikon, Kreis 3, Zürich, Bezirk Zürich, Zürich, 8003, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.3670055,8.520338295893719",n267468996,"267468996",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zürich Manessehof,Coop Manessehof,,Coop Genossenschaft,Mo-Sa 07:30-21:00,Coop,,,,Q432564,Coop,Uetlibergstrasse,"8045","20",CH,Zürich,"1",0.00223592441364441,8.52033829589372,47.3670055,8.521006,47.3648716
"10","3","95","3110","8004",Verena Conzett-Strasse 22,"Verena Conzett-Strasse 22, 8004",Zurich,Zurich,Switzerland,"0","338596617","22, Verena-Conzett-Strasse, Werd, Kreis 4, Zürich, Bezirk Zürich, Zürich, 8004, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.37055485,8.526204484039363",n301815692,"301815692",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkout,no,no,"migros_bank;postfinance_card",,https://www.denner.ch/,,,,Zürich Stauffacher,,limited,,Mo-Sa 08:00-20:00,Denner,,,,Q379911,Denner,Werdstrasse,"8004","36",CH,Zürich,"1",0.00399164573171934,8.52620448403936,47.37055485,8.5294871,47.3728259
