ID,Zimmer,Quadratmet,Preis,PLZ,Adresse,AdressePLZ,City,Canton,Country,result_num,osm_id,display_na,category,type,latlong,full_id,osm_id_2,osm_type,railway,layer,start_date,name:ja,light_rail,local_ref,network:wikidata,ref_name,nat_name,old_name,wheelchair:description,level,tactile_paving,wheelchair,uic_ref,uic_name,tram,ref,public_transport,operator,network,name,ele,n,distance,feature_x,feature_y,nearest_x,nearest_y
"1","3","160","4570","8050",Max Bill Platz 5,"Max Bill Platz 5, 8050",Zurich,Zurich,Switzerland,"0","4864531238","SchlafTEQ Liegezentrum, 5, Max-Bill-Platz, Oerlikon, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8050, Schweiz/Suisse/Svizzera/Svizra",shop,bed,"47.4137961,8.5394081",n2282371073,"2282371073",node,tram_stop,,,,,,,,,,,,,yes,"8591314","Zürich, Regensbergbrücke",yes,"2045",stop_position,VBZ,ZVV,Regensbergbrücke,"451","1",0.00501421685210958,8.5394081,47.4137961,8.5394211,47.4087819
"2","3","83","3280","8046",Hungerbergstrasse 17,"Hungerbergstrasse 17, 8046",Zurich,Zurich,Switzerland,"0","33049832","17, Hungerbergstrasse, Affoltern, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8046, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.4197919,8.50065555",n2288259792,"2288259792",node,tram_stop,,,,,,,,,,,,,,"8576240","Zürich, Meierhofplatz",yes,"1626",stop_position,VBZ,ZVV,Meierhofplatz,"408","1",0.0179603202803416,8.50065555,47.4197919,8.4999163,47.4018468
"3","3","111","4920","8048",Baslerstrasse 77,"Baslerstrasse 77, 8048",Zurich,Zurich,Switzerland,"0","10856032996","Specialized Store Zürich, 77, Baslerstrasse, Altstetten, Kreis 9, Zürich, Bezirk Zürich, Zürich, 8048, Schweiz/Suisse/Svizzera/Svizra",shop,bicycle,"47.3862001,8.4966843",n2277081581,"2277081581",node,tram_stop,,,,,,,,,,,,,yes,"8591222","Zürich, Kappeli",yes,"1364",stop_position,VBZ,ZVV,Kappeli,"403","1",0.00196068467888572,8.4966843,47.3862001,8.4950678,47.3850905
"4","3","83","3340","8008",Wildbachstrasse 60,"Wildbachstrasse 60, 8008",Zurich,Zurich,Switzerland,"0","97939347","60, Wildbachstrasse, Mühlebach, Kreis 8, Zürich, Bezirk Zürich, Zürich, 8008, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.3552318,8.55768753819805",n2296903024,"2296903024",node,tram_stop,,,,,,,,,,,,,yes,"8576199","Zürich, Fröhlichstrasse",yes,"917",stop_position,VBZ,ZVV,Fröhlichstrasse,"415","1",0.000698230592188574,8.55768753819805,47.3552318,8.5570028,47.3550952
"5","3","84","2750","8064",Baendlistrasse 62,"Baendlistrasse 62, 8064",Zurich,Zurich,Switzerland,"0","52348489","62, Bändlistrasse, Werdwies, Altstetten, Kreis 9, Zürich, Bezirk Zürich, Zürich, 8064, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.397214149999996,8.483608195210687",n4885628443,"4885628443",node,tram_stop,,,,,,,,,,,,yes,yes,"8591068","Zürich, Bändliweg",yes,"592",stop_position,VBZ,ZVV,Bändliweg,"397","1",0.00144657507118294,8.48360819521069,47.39721415,8.4848374,47.3964515
"6","3","72","4500","8050",Schaffhauserstrasse 438,"Schaffhauserstrasse 438, 8050",Zurich,Zurich,Switzerland,"0","556437127","438, Schaffhauserstrasse, Seebach, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8050, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.41659235,8.545417767310127",n2282310758,"2282310758",node,tram_stop,,,,,,,,,,,,,,"8591127","Zürich, Felsenrainstrasse",yes,"845",stop_position,VBZ,ZVV,Felsenrainstrasse,"436","1",0.000150585429406619,8.54541776731013,47.41659235,8.5452795,47.416652
"7","3","80","2440","8048",Talbaechliweg 11,"Talbaechliweg 11, 8048",Zurich,Zurich,Switzerland,"0","147052443","11, Talbächliweg, Altstetten, Kreis 9, Zürich, Bezirk Zürich, Zürich, 8048, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.38938115,8.466941453723175",n6605743598,"6605743598",node,tram_stop,,2019-09-02,,,,,,,,,,,yes,"8591274","Zürich, Micafil",yes,"1640",stop_position,VBZ,ZVV,Micafil,"399","1",0.00826246977563255,8.46694145372317,47.38938115,8.4743104,47.3931184
"8","3","81","1830","8050",Schaffhauserstrasse 411,"Schaffhauserstrasse 411, 8050",Zurich,Zurich,Switzerland,"0","835688834","411, Schaffhauserstrasse, Seebach, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8050, Schweiz/Suisse/Svizzera/Svizra",place,house,"47.4147115,8.5453852",n2282310578,"2282310578",node,tram_stop,,,,,,,"Zürich, Bahnhof Oerlikon Ost","Zürich, Bahnhof Oerlikon Ost",,,,,,"8591063","Zürich Oerlikon, Bahnhof Ost",yes,"3447",stop_position,VBZ,ZVV,Bahnhof Oerlikon Ost,"438","1",0.00114880245473414,8.5453852,47.4147115,8.5457224,47.4136133
"9","3","80","3540","8003",Steinstrasse 35,"Steinstrasse 35, 8003",Zurich,Zurich,Switzerland,"0","340697337","35, Steinstrasse, Alt-Wiedikon, Kreis 3, Zürich, Bezirk Zürich, Zürich, 8003, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.3670055,8.520338295893719",n4881705891,"4881705891",node,tram_stop,,,,,,,,,,,,,,"8591341","Zürich, Schmiede Wiedikon",yes,"2256",stop_position,VBZ,ZVV,Schmiede Wiedikon,"414","1",0.00296802187689387,8.52033829589372,47.3670055,8.519793,47.369923
"10","3","95","3110","8004",Verena Conzett-Strasse 22,"Verena Conzett-Strasse 22, 8004",Zurich,Zurich,Switzerland,"0","338596617","22, Verena-Conzett-Strasse, Werd, Kreis 4, Zürich, Bezirk Zürich, Zürich, 8004, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.37055485,8.526204484039363",n2275780155,"2275780155",node,tram_stop,,,,,,,,,,,,,no,"8591427","Zürich, Werd",yes,"6238",stop_position,VBZ,ZVV,Werd,"411","1",0.0019848442258744,8.52620448403936,47.37055485,8.5267251,47.3724702
