ID,Zimmer,Quadratmet,Preis,PLZ,Adresse,AdressePLZ,City,Canton,Country,result_num,osm_id,display_na,category,type,latlong,id_2,adr_inter,adresse_2,adrzus_int,behindertenparkplatz,bemerkung,ccmail,da,datum,datum_cms,dep,editor,erforderlichedokumente,fax,hausnummer,hindernisfreiheit,infrastruktur,isbetriebsferien_gebaeude,isbetriebsferien_schalter,kategorie,mail,name,namenzus,objectid,oeffnungszeiten_gebaeude_di,oeffnungszeiten_gebaeude_do,oeffnungszeiten_gebaeude_fr,oeffnungszeiten_gebaeude_mi,oeffnungszeiten_gebaeude_mo,oeffnungszeiten_gebaeude_sa,oeffnungszeiten_gebaeude_so,oeffnungszeiten_schalter_di,oeffnungszeiten_schalter_do,oeffnungszeiten_schalter_fr,oeffnungszeiten_schalter_mi,oeffnungszeiten_schalter_mo,oeffnungszeiten_schalter_sa,oeffnungszeiten_schalter_so,ort,plz_2,poi_id,postadresse,publish_internet,strasse,suchen,tel,tel2,www,zahlungsmittel_internet,zahlungsmittel_schalter,zahlungsmittel_telefon,zvv_label,zvv_link,einheit,schulkreis,n,distance,feature_x,feature_y,nearest_x,nearest_y
"1","3","160","4570","8050",Max Bill Platz 5,"Max Bill Platz 5, 8050",Zurich,Zurich,Switzerland,"0","4864531238","SchlafTEQ Liegezentrum, 5, Max-Bill-Platz, Oerlikon, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8050, Schweiz/Suisse/Svizzera/Svizra",shop,bed,"47.4137961,8.5394081","102",,Margrit-Rainer-Strasse 5,,,,,Schulamt,"201807311228",,Schul- und Sportdepartement (SSD),dbo,,+41 44 413 07 11,"5",,,,,Volksschule,,Im Birch,,266,,,,,,,,,,,,,,,Zürich,"8050",vo250,,"1",Margrit-Rainer-Strasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 07 10,,https://www.stadt-zuerich.ch/schulen/de/imbirch.html,,,,"Zürich, Neunbrunnen",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.415642620394706&tolon=8.54018228760786&toname=Zürich%2C+Margrit-Rainer-Strasse+5,Im Birch,Glattal,"1",0.00200224789949632,8.5394081,47.4137961,8.54018228759095,47.4156426184064
"2","3","83","3280","8046",Hungerbergstrasse 17,"Hungerbergstrasse 17, 8046",Zurich,Zurich,Switzerland,"0","33049832","17, Hungerbergstrasse, Affoltern, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8046, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.4197919,8.50065555","79",,Wehntalerstrasse 563,,,,,Schulamt,"201807311228",,Schul- und Sportdepartement (SSD),dbo,,+41 44 413 17 09,"563",,,,,Volksschule,,Holderbach,,243,,,,,,,,,,,,,,,Zürich,"8046",vo245,,"1",Wehntalerstrasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 17 00,+41 44 413 17 01,https://www.stadt-zuerich.ch/schulen/de/holderbach.html,,,,"Zürich, Zehntenhausplatz",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.419370329154845&tolon=8.503807745544162&toname=Zürich%2C+Wehntalerstrasse+563,Holderbach,Glattal,"1",0.00318026104261302,8.50065555,47.4197919,8.50380774552781,47.4193703271669
"3","3","111","4920","8048",Baslerstrasse 77,"Baslerstrasse 77, 8048",Zurich,Zurich,Switzerland,"0","10856032996","Specialized Store Zürich, 77, Baslerstrasse, Altstetten, Kreis 9, Zürich, Bezirk Zürich, Zürich, 8048, Schweiz/Suisse/Svizzera/Svizra",shop,bicycle,"47.3862001,8.4966843","106",,Mürtschenstrasse 39,,,,,Schulamt,"202301171510",,Schul- und Sportdepartement (SSD),ssdklc,,,"39",,,,,Volksschule,,Kappeli Sekundar,,270,,,,,,,,,,,,,,,Zürich,"8048",vo024,,"1",Mürtschenstrasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 35 80,,https://www.stadt-zuerich.ch/schulen/de/kappeli_sek.html,,,,,https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.38723916752133&tolon=8.49485680175994&toname=Zürich%2C+Mürtschenstrasse+39,Kappeli Sekundar,Letzi,"1",0.00210223858128753,8.4966843,47.3862001,8.49485680174374,47.3872391655302
"4","3","83","3340","8008",Wildbachstrasse 60,"Wildbachstrasse 60, 8008",Zurich,Zurich,Switzerland,"0","97939347","60, Wildbachstrasse, Mühlebach, Kreis 8, Zürich, Bezirk Zürich, Zürich, 8008, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.3552318,8.55768753819805","86",,Ceresstrasse 24,,,,,Schulamt,"202109061438",,Schul- und Sportdepartement (SSD),ssdkbe,,,"24",,,,,Volksschule,,Pavillon Riesbach,,250,,,,,,,,,,,,,,,Zürich,"8008",vo012,,"1",Ceresstrasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 03 53,,https://www.stadt-zuerich.ch/schulen/de/riesbach.html,,,,"Zürich, Fröhlichstrasse",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.35615249207254&tolon=8.558395705644145&toname=Zürich%2C+Ceresstrasse+24,Riesbach,Zürichberg,"1",0.00116153834524935,8.55768753819805,47.3552318,8.55839570562698,47.3561524900782
"5","3","84","2750","8064",Baendlistrasse 62,"Baendlistrasse 62, 8064",Zurich,Zurich,Switzerland,"0","52348489","62, Bändlistrasse, Werdwies, Altstetten, Kreis 9, Zürich, Bezirk Zürich, Zürich, 8064, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.397214149999996,8.483608195210687","53",,Grünauring 26,,,,,Schulamt,"202206091624",,Schul- und Sportdepartement (SSD),ssdiha,,+41 44 413 05 51,"26",,,,,Volksschule,,Grünau,,217,,,,,,,,,,,,,,,Zürich,"8064",vo233,,"1",Grünauring,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 05 50,,https://www.stadt-zuerich.ch/schulen/de/gruenau.html,,,,"Zürich, Grünaustrasse",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.396297527070764&tolon=8.489086368361487&toname=Zürich%2C+Grünauring+26,Grünau,Letzi,"1",0.00555433003490771,8.48360819521069,47.39721415,8.48908636834537,47.3962975250805
"6","3","72","4500","8050",Schaffhauserstrasse 438,"Schaffhauserstrasse 438, 8050",Zurich,Zurich,Switzerland,"0","556437127","438, Schaffhauserstrasse, Seebach, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8050, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.41659235,8.545417767310127","68",,Höhenring 36,,,,,Schulamt,"202209080928",,Schul- und Sportdepartement (SSD),ssdbn7qj,,+41 44 413 22 11,"36",,,,,Volksschule,,Buhn,,232,,,,,,,,,,,,,,,Zürich,"8052",vo218,,"1",Höhenring,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 22 10,,https://www.stadt-zuerich.ch/schulen/de/buhn.html,,,,"Zürich, Seebacherplatz",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.42076846676189&tolon=8.545371987695951&toname=Zürich%2C+Höhenring+36,Buhn,Glattal,"1",0.00417636569051174,8.54541776731013,47.41659235,8.54537198767896,47.4207684647741
"7","3","80","2440","8048",Talbaechliweg 11,"Talbaechliweg 11, 8048",Zurich,Zurich,Switzerland,"0","147052443","11, Talbächliweg, Altstetten, Kreis 9, Zürich, Bezirk Zürich, Zürich, 8048, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.38938115,8.466941453723175","42",,Eugen-Huber-Strasse 145,,,,,Schulamt,"201807311228",,Schul- und Sportdepartement (SSD),dbo,,+41 44 413 30 21,"145",,,,,Volksschule,,Loogarten,,206,,,,,,,,,,,,,,,Zürich,"8048",vo275,,"1",Eugen-Huber-Strasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 30 20,,https://www.stadt-zuerich.ch/schulen/de/loogarten.html,,,,"Zürich, Salzweg",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.38811306023658&tolon=8.473196138530886&toname=Zürich%2C+Eugen-Huber-Strasse+145,Loogarten,Letzi,"1",0.00638193846281781,8.46694145372317,47.38938115,8.47319613851502,47.3881130582455
"8","3","81","1830","8050",Schaffhauserstrasse 411,"Schaffhauserstrasse 411, 8050",Zurich,Zurich,Switzerland,"0","835688834","411, Schaffhauserstrasse, Seebach, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8050, Schweiz/Suisse/Svizzera/Svizra",place,house,"47.4147115,8.5453852","102",,Margrit-Rainer-Strasse 5,,,,,Schulamt,"201807311228",,Schul- und Sportdepartement (SSD),dbo,,+41 44 413 07 11,"5",,,,,Volksschule,,Im Birch,,266,,,,,,,,,,,,,,,Zürich,"8050",vo250,,"1",Margrit-Rainer-Strasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 07 10,,https://www.stadt-zuerich.ch/schulen/de/imbirch.html,,,,"Zürich, Neunbrunnen",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.415642620394706&tolon=8.54018228760786&toname=Zürich%2C+Margrit-Rainer-Strasse+5,Im Birch,Glattal,"1",0.00528557272420872,8.5453852,47.4147115,8.54018228759095,47.4156426184064
"9","3","80","3540","8003",Steinstrasse 35,"Steinstrasse 35, 8003",Zurich,Zurich,Switzerland,"0","340697337","35, Steinstrasse, Alt-Wiedikon, Kreis 3, Zürich, Bezirk Zürich, Zürich, 8003, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.3670055,8.520338295893719","1",,Aegertenstrasse 29,,,,,Schulamt,"201901251041",,Schul- und Sportdepartement (SSD),ssdklv,,,"29",,,,,Volksschule,,Aegerten,,45,,,,,,,,,,,,,,,Zürich,"8003",vo200,,"1",Aegertenstrasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 08 58,,https://www.stadt-zuerich.ch/schulen/de/aegerten.html,,,,"Zürich, Bahnhof Wiedikon",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.36912244598671&tolon=8.5227185077607&toname=Zürich%2C+Aegertenstrasse+29,Aegerten,Uto,"1",0.00318541368194978,8.52033829589372,47.3670055,8.52271850774408,47.3691224439937
"10","3","95","3110","8004",Verena Conzett-Strasse 22,"Verena Conzett-Strasse 22, 8004",Zurich,Zurich,Switzerland,"0","338596617","22, Verena-Conzett-Strasse, Werd, Kreis 4, Zürich, Bezirk Zürich, Zürich, 8004, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.37055485,8.526204484039363","1",,Aegertenstrasse 29,,,,,Schulamt,"201901251041",,Schul- und Sportdepartement (SSD),ssdklv,,,"29",,,,,Volksschule,,Aegerten,,45,,,,,,,,,,,,,,,Zürich,"8003",vo200,,"1",Aegertenstrasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 08 58,,https://www.stadt-zuerich.ch/schulen/de/aegerten.html,,,,"Zürich, Bahnhof Wiedikon",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.36912244598671&tolon=8.5227185077607&toname=Zürich%2C+Aegertenstrasse+29,Aegerten,Uto,"1",0.00376879525818473,8.52620448403936,47.37055485,8.52271850774408,47.3691224439937
