ID,Zimmer,Quadratmet,Preis,PLZ,Adresse,City,Canton,Country,result_num,osm_id,display_na,category,type,latlong,id_2,identifier,REG_NAME,DOC_TITLE,DOC_LINK,LAST_MODI,VALID_FROM,VALID_UNTI,typ_code,typ_name_d,typ_name_f,typ_name_i,TYPE_2,origin,LEVEL_DB,descriptio,descript_1,descript_2,descript_3,remark,n,distance,feature_x,feature_y,nearest_x,nearest_y
"1","1.5","12","3510","8304",Neugutstrasse 12,Wallisellen,Zurich,Switzerland,"0","4299006567","12, Neugutstrasse, Wallisellen, Bezirk Bülach, Zürich, 8304, Schweiz/Suisse/Svizzera/Svizra",place,house,"47.4123559,8.5949179",127,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"59",,,,,,"1",0.002038920256620,8.594917900000000,47.412355900000001,8.596955567146289,47.412284426831611
"2","1.5","16","3510","8304",Melchruetistrasse 10,Wallisellen,Zurich,Switzerland,"0","158223008","10, Melchrütistrasse, Herti, Wallisellen, Bezirk Bülach, Zürich, 8051, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.417458100000005,8.579414797328972",71,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"62",,,,,,"1",0.002151587095007,8.579414797328972,47.417458100000005,8.580643913572166,47.415692144086591
"4","1.5","15","3310","8304",Steinackerweg 12,Wallisellen,Zurich,Switzerland,"0","183480785","12, Steinackerweg, Herti, Wallisellen, Bezirk Bülach, Zürich, 8051, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.4184405,8.583387850000005",71,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"62",,,,,,"1",0.000541362734274,8.583387850000006,47.418440500000003,8.582948081243304,47.418756216725392
"5","1.5","15","3550","8304",Neugutstrasse 37,Wallisellen,Zurich,Switzerland,"0","185812345","37, Neugutstrasse, Wallisellen, Bezirk Bülach, Zürich, 8304, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.4116542,8.597936249999998",127,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"59",,,,,,"1",0.001002172367342,8.597936249999998,47.411654200000001,8.596934693562853,47.411689330571754
"6","1.5","13","3430","8304",Neue Winterthurerstrasse 75,Wallisellen,Zurich,Switzerland,"0","154504283","75, Neue Winterthurerstrasse, Wallisellen, Bezirk Bülach, Zürich, 8304, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.409174300000004,8.600235904932191",150,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"58",,,,,,"1",0.002053829124191,8.600235904932193,47.409174299999997,8.600812258143366,47.407202998133890
"7","1.5","360","7160","8304",Melchruetistrasse 10,Wallisellen,Zurich,Switzerland,"0","158223008","10, Melchrütistrasse, Herti, Wallisellen, Bezirk Bülach, Zürich, 8051, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.417458100000005,8.579414797328972",71,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"62",,,,,,"1",0.002151587095007,8.579414797328972,47.417458100000005,8.580643913572166,47.415692144086591
"8","1.5","130","3560","8304",Buetzackerstrasse 4,Wallisellen,Zurich,Switzerland,"0","100002512","4, Bützackerstrasse, Rieden, Wallisellen, Bezirk Bülach, Zürich, 8304, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.4222577,8.602505597641878",127,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"59",,,,,,"1",0.001349645658116,8.602505597641878,47.422257700000003,8.601552566109152,47.423213353859985
"9","1.5","140","3390","8304",Zwickystrasse 18,Wallisellen,Zurich,Switzerland,"0","4109706000","18, Zwicky-Strasse, Wallisellen, Bezirk Bülach, Zürich, 8301, Schweiz/Suisse/Svizzera/Svizra",place,house,"47.4049526,8.6009187",110,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"57",,,,,,"1",0.000410677706074,8.600918699999999,47.404952600000001,8.600958333803252,47.404543839263255
"10","1.5","360","7160","8304",Melchruetistrasse,Wallisellen,Zurich,Switzerland,"0","1158097878","Melchrütistrasse, Herti, Wallisellen, Bezirk Bülach, Zürich, 8051, Schweiz/Suisse/Svizzera/Svizra",highway,residential,"47.4184155,8.580057",5,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"63",,,,,,"1",0.002193470173228,8.580057000000000,47.418415500000002,8.578308614826263,47.419740060563015
"11","1.5","16","2670","8304",Im Langacker 19,Wallisellen,Zurich,Switzerland,"0","55801206","19, Im Langacker, Wallisellen, Bezirk Bülach, Zürich, 8304, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.40921665,8.606232667055998",150,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"58",,,,,,"1",0.001149549153872,8.606232667055998,47.409216649999998,8.605113318994025,47.408954880686814
